model,horizon,seed,bin,bin_lo_mm,bin_hi_mm,n,RMSE,MAE,mean_obs_mm,mean_pred_mm
persistence,2,n/a,"[10, inf)",10.0,inf,16372,30.527687405551948,20.10792203643968,27.14548007078285,14.847623981847166
lstm,3,13,"[0, 0.1)",0.0,0.1,83918,2.6848804519505634,1.6467788843514077,0.0,1.5549633345946057
lstm,3,13,"[0.1, 1)",0.1,1.0,13799,5.003940414753895,3.55972217337187,0.41884194887730164,3.8938171491501685
lstm,3,13,"[1, 5)",1.0,5.0,16865,5.547371714233454,3.9630985460413166,2.485597397515585,5.772450422306322
lstm,3,13,"[5, 10)",5.0,10.0,9358,5.26865417654224,3.842160384087785,7.215313059469909,7.447114720979528
lstm,3,13,"[10, inf)",10.0,inf,16353,28.903228633838516,18.161969830729042,27.18348313596776,9.852098131696767
lstm,3,42,"[0, 0.1)",0.0,0.1,83918,2.9515790441862793,2.0619969775114506,0.0,2.0070883263796535
lstm,3,42,"[0.1, 1)",0.1,1.0,13799,5.230473886686348,3.9218190460335562,0.41884194887730164,4.293179999080791
lstm,3,42,"[1, 5)",1.0,5.0,16865,5.81143123736915,4.218707542660524,2.485597397515585,6.209394307213525
lstm,3,42,"[5, 10)",5.0,10.0,9358,5.327239446386522,3.7461847404219073,7.215313059469909,7.838559018796958
lstm,3,42,"[10, inf)",10.0,inf,16353,28.705943093776895,17.93671568199668,27.18348313596776,10.238584718741405
lstm,3,123,"[0, 0.1)",0.0,0.1,83918,2.747340364924703,1.8710533928958277,0.0,1.8343372895469423
lstm,3,123,"[0.1, 1)",0.1,1.0,13799,4.8915026425453325,3.6051656334721587,0.41884194887730164,3.9803482034927575
lstm,3,123,"[1, 5)",1.0,5.0,16865,5.445982978060911,3.8511502754468783,2.485597397515585,5.782006660911933
lstm,3,123,"[5, 10)",5.0,10.0,9358,5.1920586558944635,3.7359754769142115,7.215313059469909,7.348869887854723
lstm,3,123,"[10, inf)",10.0,inf,16353,29.02920689390383,18.373094259463404,27.18348313596776,9.684517881604771
temporal,3,13,"[0, 0.1)",0.0,0.1,83918,2.6039800548065393,1.5096184382612705,0.0,1.3747598725396701
temporal,3,13,"[0.1, 1)",0.1,1.0,13799,4.897907980907054,3.5238512574102057,0.41884194887730164,3.819959523392326
temporal,3,13,"[1, 5)",1.0,5.0,16865,5.301129437178654,3.9515380118213246,2.485597397515585,5.671868533120482
temporal,3,13,"[5, 10)",5.0,10.0,9358,4.964050349495828,3.6511449974862904,7.215313059469909,7.3197351891046
temporal,3,13,"[10, inf)",10.0,inf,16353,29.424573482804153,18.54505130061108,27.18348313596776,9.264452554382993
temporal,3,42,"[0, 0.1)",0.0,0.1,83918,2.5846995105736776,1.6391748242205455,0.0,1.6342767698056797
temporal,3,42,"[0.1, 1)",0.1,1.0,13799,4.728734289934385,3.3026687076010353,0.41884194887730164,3.7026747899527246
temporal,3,42,"[1, 5)",1.0,5.0,16865,5.704430554067733,3.7555984391131747,2.485597397515585,5.587886081000262
temporal,3,42,"[5, 10)",5.0,10.0,9358,5.918106077173139,3.9897911905443015,7.215313059469909,7.320082449088509
temporal,3,42,"[10, inf)",10.0,inf,16353,28.809334697111588,18.358302254882844,27.18348313596776,10.176460900571303
