# Phase 6 — IMD-tier extreme rainfall evaluation (primary tier scheme).
# Boundaries: IMD daily scale (see src/imd_tiers.py / dashboard/lib/imd_rainfall.py).
# Merge rule: tiers with < 100 test samples merged per horizon (see merge log below).
# Mean_Error_Bias = mean(predicted - actual) mm/day (continuous; NOT contingency frequency bias).
# GNN-LSTM excluded (graph inference path not shared with flat eval scripts).
# Secondary cross-check: extreme_rainfall_evaluation.csv (95th-percentile split; different framing).
# h=1 merges: none (all raw IMD tiers n >= 100)
# h=2 merges: none (all raw IMD tiers n >= 100)
# h=3 merges: none (all raw IMD tiers n >= 100)
# h=4 merges: none (all raw IMD tiers n >= 100)
Model,Horizon,Tier,Seed,N_samples,RMSE,MAE,Mean_Error_Bias,Source_Tiers
CNN-LSTM-Temporal,4,Very Heavy,123,828,73.148896,71.087496,-71.087496,Very Heavy
CNN-LSTM-Temporal,4,Extremely Heavy,123,171,166.473668,156.834473,-156.834473,Extremely Heavy
CNN-LSTM+Attention,4,No Rain,13,83742,2.818032,1.535912,1.51648,No Rain
CNN-LSTM+Attention,4,Light,13,36003,5.823911,4.215563,3.485994,Light
CNN-LSTM+Attention,4,Moderate,13,16877,11.117069,8.719388,-6.831444,Moderate
CNN-LSTM+Attention,4,Heavy,13,2274,35.393315,33.566211,-33.52294,Heavy
CNN-LSTM+Attention,4,Very Heavy,13,828,70.960297,68.61457,-68.61457,Very Heavy
CNN-LSTM+Attention,4,Extremely Heavy,13,171,162.935269,152.459447,-152.459447,Extremely Heavy
CNN-LSTM+Attention,4,No Rain,42,83742,2.884848,1.608161,1.087756,No Rain
CNN-LSTM+Attention,4,Light,42,36003,6.287137,4.424034,3.466717,Light
CNN-LSTM+Attention,4,Moderate,42,16877,11.589754,9.160954,-6.628633,Moderate
CNN-LSTM+Attention,4,Heavy,42,2274,35.109902,33.043499,-32.908308,Heavy
CNN-LSTM+Attention,4,Very Heavy,42,828,70.224939,67.621398,-67.621398,Very Heavy
CNN-LSTM+Attention,4,Extremely Heavy,42,171,162.173045,151.520843,-151.520843,Extremely Heavy
CNN-LSTM+Attention,4,No Rain,123,83742,2.618103,1.517411,1.44435,No Rain
CNN-LSTM+Attention,4,Light,123,36003,5.247774,3.803616,2.989093,Light
CNN-LSTM+Attention,4,Moderate,123,16877,11.658597,9.316346,-7.975473,Moderate
CNN-LSTM+Attention,4,Heavy,123,2274,36.905201,35.395533,-35.393187,Heavy
CNN-LSTM+Attention,4,Very Heavy,123,828,73.116012,70.985999,-70.985999,Very Heavy
CNN-LSTM+Attention,4,Extremely Heavy,123,171,165.830072,155.929325,-155.929325,Extremely Heavy
CNN-LSTM+Attention,1,Extremely Heavy,mean ± std,168,142.6054 ± 1.7533,129.3619 ± 1.7409,-129.3212 ± 1.8112,Extremely Heavy
CNN-LSTM+Attention,1,Heavy,mean ± std,2264,30.8868 ± 0.7615,27.8726 ± 0.9149,-26.4782 ± 0.8939,Heavy
CNN-LSTM+Attention,1,Light,mean ± std,36547,5.8073 ± 0.4905,3.6740 ± 0.3342,2.8664 ± 0.5669,Light
CNN-LSTM+Attention,1,Moderate,mean ± std,17005,11.1546 ± 0.2153,8.7345 ± 0.2470,-5.2488 ± 0.7261,Moderate
CNN-LSTM+Attention,1,No Rain,mean ± std,84444,2.5801 ± 0.2908,1.4003 ± 0.3831,1.3406 ± 0.4423,No Rain
CNN-LSTM+Attention,1,Very Heavy,mean ± std,821,61.3637 ± 0.7897,57.0368 ± 0.7784,-56.4344 ± 0.6643,Very Heavy
CNN-LSTM+Attention,2,Extremely Heavy,mean ± std,170,157.5612 ± 0.9077,146.7424 ± 1.1217,-146.7424 ± 1.1217,Extremely Heavy
CNN-LSTM+Attention,2,Heavy,mean ± std,2263,34.1094 ± 0.2775,31.7656 ± 0.3316,-31.3914 ± 0.4094,Heavy
CNN-LSTM+Attention,2,Light,mean ± std,36366,5.8968 ± 0.0845,4.0087 ± 0.1421,3.0645 ± 0.2398,Light
CNN-LSTM+Attention,2,Moderate,mean ± std,16953,11.2794 ± 0.0746,8.9447 ± 0.0783,-6.5277 ± 0.1843,Moderate
