model,horizon,seed,threshold_mm,POD,FAR,CSI,Bias,HSS,Accuracy,hits,misses,false_alarms,correct_negatives,n,n_obs_event,n_pred_event
temporal,1,123,1.0,0.8678351381628081,0.38330265187322754,0.5637507580351728,1.4072302091112772,0.5677244472031868,0.7963019332733978,37185,5663,23112,75303,141263,42848,60297
temporal,1,123,5.0,0.7059392906922719,0.38706424177227955,0.4882705800439184,1.1517345516493729,0.5724801420810843,0.8647274941067371,18233,7595,11514,103921,141263,25828,29747
temporal,1,123,10.0,0.5238936974277704,0.44097560975609756,0.3706978349003709,0.9371571376325735,0.4827676112086611,0.896710391256026,8595,7811,6780,118077,141263,16406,15375
temporal,1,123,35.6,0.2608162012887389,0.45721583652618136,0.2138364779874214,0.48051549555078243,0.3424850122944128,0.9778781421886835,850,2409,716,137288,141263,3259,1566
temporal,1,123,64.4,0.13266331658291458,0.5368421052631579,0.11498257839721254,0.2864321608040201,0.20375248773241886,0.9928077415883848,132,863,153,140115,141263,995,285
temporal,1,123,124.4,0.047619047619047616,0.38461538461538464,0.046242774566473986,0.07738095238095238,0.0882420303209439,0.9988319659075625,8,160,5,141090,141263,168,13
attention,1,13,0.1,0.9998240025343635,0.5975616667375072,0.4024098263111665,2.484415424417888,0.0007254873025230159,0.40279478702845045,56809,10,84353,91,141263,56819,141162
attention,1,13,1.0,0.9761015683345781,0.6196746355791177,0.37681655599902697,2.5664908513816282,0.19669232204182055,0.5103530294556962,41824,1024,68145,30270,141263,42848,109969
attention,1,13,5.0,0.7697847297506581,0.4319103948797074,0.485590074247753,1.3550410407309896,0.5614659031333218,0.8509022178489767,19882,5946,15116,100319,141263,25828,34998
attention,1,13,10.0,0.5335852736803608,0.4606949236076885,0.3665215206833026,0.9893941241009386,0.4758847488049112,0.8928948132207302,8754,7652,7478,117379,141263,16406,16232
attention,1,13,35.6,0.21509665541577172,0.4396482813749001,0.18403780519821475,0.3838600797790733,0.30193034363073534,0.9779984850951771,701,2558,550,137454,141263,3259,1251
attention,1,13,64.4,0.08442211055276382,0.5227272727272727,0.07727690892364306,0.17688442211055277,0.14164974538212866,0.9928997685168799,84,911,92,140176,141263,995,176
attention,1,13,124.4,0.03571428571428571,0.4,0.03488372093023256,0.05952380952380952,0.06729109621111673,0.9988248869130628,6,162,4,141091,141263,168,10
attention,1,42,0.1,0.9525158837712737,0.5200166731703856,0.468766781575346,1.984477023530861,0.22234584693713424,0.5658240303547284,54121,2698,58635,25809,141263,56819,112756
attention,1,42,1.0,0.9022124719940254,0.47567442932902926,0.49613059715858776,1.720710418222554,0.45356938914864725,0.7220715969503692,38658,4190,35071,63344,141263,42848,73729
attention,1,42,5.0,0.7042357131794951,0.39287025601655595,0.4837757327517421,1.1599426978472975,0.5670708535123945,0.8626037957568506,18189,7639,11770,103665,141263,25828,29959
attention,1,42,10.0,0.4797635011581129,0.4182557280118256,0.3567187854067528,0.8246982811166647,0.4702408162867678,0.8995207520723756,7871,8535,5659,119198,141263,16406,13530
attention,1,42,35.6,0.1825713409021172,0.39838220424671383,0.16287982480153299,0.30346732126419146,0.2723148062047039,0.9783524348201581,595,2664,394,137610,141263,3259,989
attention,1,42,64.4,0.08442211055276382,0.4246575342465753,0.07947019867549669,0.14673366834170853,0.1456993280207879,0.9931121383518685,84,911,62,140206,141263,995,146
attention,1,42,124.4,0.02976190476190476,0.2857142857142857,0.029411764705882353,0.041666666666666664,0.057053143589098264,0.9988319659075625,5,163,2,141093,141263,168,7
attention,1,123,0.1,0.9815026663616044,0.5569115380337195,0.4394191296399896,2.2151393019940513,0.12632865470868407,0.49636493632444445,55768,1051,70094,14350,141263,56819,125862
attention,1,123,1.0,0.9335558252427184,0.4996747967479675,0.4831213691317318,1.8658980582524272,0.4239875953708905,0.6970473513942079,40001,2847,39949,58466,141263,42848,79950
attention,1,123,5.0,0.7396236642403593,0.4078058156116312,0.4900341174358053,1.248954622889887,0.5705348469964531,0.8592695893475291,19103,6725,13155,102280,141263,25828,32258
attention,1,123,10.0,0.5505912471047177,0.45649819494584837,0.3764848080690201,1.0130440082896501,0.48706648812711845,0.8940982422856657,9033,7373,7587,117270,141263,16406,16620
attention,1,123,35.6,0.22123350721080087,0.4194847020933977,0.19074074074074074,0.3810984964713102,0.31160861323165623,0.9783453558256585,721,2538,521,137483,141263,3259,1242
attention,1,123,64.4,0.06030150753768844,0.3548387096774194,0.058365758754863814,0.09346733668341708,0.10922149136279115,0.9931475333243666,60,935,33,140235,141263,995,93
attention,1,123,124.4,0.017857142857142856,0.25,0.01775147928994083,0.023809523809523808,0.034830332634033984,0.9988248869130628,3,165,1,141094,141263,168,4
