model,horizon,seed,threshold_mm,POD,FAR,CSI,Bias,HSS,Accuracy,hits,misses,false_alarms,correct_negatives,n,n_obs_event,n_pred_event
persistence,2,n/a,10.0,0.4315294405081847,0.5662450884086444,0.27603047470209024,0.9948692890300513,0.3581162519416091,0.8682573425380191,7065,9307,9223,115058,140653,16372,16288
persistence,2,n/a,35.6,0.24125230202578268,0.7563546187228767,0.13794313794313795,0.9901780233271946,0.2245699949240673,0.9650771757445629,786,2472,2440,134955,140653,3258,3226
persistence,2,n/a,64.4,0.1628140703517588,0.8346938775510204,0.08935466078323222,0.9849246231155779,0.1581404256950481,0.9882618927431338,162,833,818,138840,140653,995,980
persistence,2,n/a,124.4,0.12352941176470589,0.8711656441717791,0.0673076923076923,0.9588235294117647,0.12509089761795758,0.997931078611903,21,149,142,140341,140653,170,163
lstm,3,13,0.1,0.9781463414634146,0.5632548966806327,0.43252464879873875,2.2396274944567627,0.10860615628760933,0.4843078414461163,55143,1232,71116,12802,140293,56375,126259
lstm,3,13,1.0,0.9353626456219466,0.5708481955235621,0.4167913845252174,2.1795612551672305,0.29505830885789397,0.6027955778264061,39824,2752,52973,44744,140293,42576,92797
lstm,3,13,5.0,0.7289098051417681,0.4794022056168227,0.4361516442086155,1.400140017891175,0.5006099345205073,0.8273042846043637,18741,6970,17258,97324,140293,25711,35999
lstm,3,13,10.0,0.3774842536537638,0.5154631083202512,0.2693280977312391,0.7790619458203388,0.35891668914670566,0.8806283991360937,6173,10180,6567,117373,140293,16353,12740
lstm,3,13,35.6,0.04528763769889841,0.46953405017921146,0.043542218299499856,0.08537331701346389,0.08007972202632505,0.9768270690626047,148,3120,131,136894,140293,3268,279
lstm,3,13,64.4,0.007021063189568706,0.125,0.0070140280561122245,0.00802407221664995,0.013818772510390865,0.9929362120704526,7,990,1,139295,140293,997,8
lstm,3,13,124.4,0.0,,0.0,0.0,0.0,0.9987882503047194,0,170,0,140123,140293,170,0
lstm,3,42,0.1,0.986749445676275,0.5794773326882517,0.41816131699616627,2.346483370288248,0.06003293189675547,0.44828323579936274,55628,747,76655,7263,140293,56375,132283
lstm,3,42,1.0,0.9628429161969184,0.633028672712136,0.36184692517499184,2.6237551672303647,0.1640254313585797,0.48467136635470054,40994,1582,70715,27002,140293,42576,111709
lstm,3,42,5.0,0.7662090155964373,0.4975643347190696,0.4356479433878815,1.5249893041888687,0.4951394467438057,0.8180949869202312,19700,6011,19509,95073,140293,25711,39209
lstm,3,42,10.0,0.3831101326973644,0.5181139912314437,0.2713413313699164,0.7950223200635969,0.3608661309322199,0.8800795478035255,6265,10088,6736,117204,140293,16353,13001
lstm,3,42,35.6,0.05477356181150551,0.47352941176470587,0.05220180810731992,0.10403916768665851,0.09525188388681913,0.9768341970019887,179,3089,161,136864,140293,3268,340
lstm,3,42,64.4,0.012036108324974924,0.42857142857142855,0.011928429423459244,0.02106318956870612,0.023289269094906206,0.9929148282523006,12,985,9,139287,140293,997,21
lstm,3,42,124.4,0.0,,0.0,0.0,0.0,0.9987882503047194,0,170,0,140123,140293,170,0
lstm,3,123,0.1,0.9887184035476718,0.5837608560909858,0.4142715928262986,2.375361419068736,0.04665883196810166,0.4382613530254539,55739,636,78172,5746,140293,56375,133911
lstm,3,123,1.0,0.9574642991356633,0.6228605791470071,0.3709247413581314,2.5387542277339348,0.18720786272191975,0.5072027827475355,40765,1811,67325,30392,140293,42576,108090
lstm,3,123,5.0,0.7171638598265334,0.4818613538651755,0.4302246902634219,1.3841157481233712,0.49392999621727646,0.8259357202426351,18439,7272,17148,97434,140293,25711,35587
lstm,3,123,10.0,0.3425671130679386,0.5038965639390719,0.2541396361656762,0.6905155017427995,0.34268962419513693,0.8828095485875989,5602,10751,5690,118250,140293,16353,11292
lstm,3,123,35.6,0.03763769889840881,0.4434389140271493,0.036541889483065956,0.06762545899632803,0.06775626924209563,0.9768840925776767,123,3145,98,136927,140293,3268,221
lstm,3,123,64.4,0.00802407221664995,0.4666666666666667,0.00796812749003984,0.015045135406218655,0.01560289507732817,0.9929005723735326,8,989,7,139289,140293,997,15
lstm,3,123,124.4,0.0,,0.0,0.0,0.0,0.9987882503047194,0,170,0,140123,140293,170,0
temporal,3,13,0.1,0.9619334811529934,0.5360244355273402,0.455610165931527,2.073241685144124,0.18311928097940258,0.5381380396741106,54229,2146,62650,21268,140293,56375,116879
