model,horizon,threshold_mm,n_seeds,POD_mean,POD_std,FAR_mean,FAR_std,CSI_mean,CSI_std,Bias_mean,Bias_std,HSS_mean,HSS_std,Accuracy_mean,Accuracy_std
attention,3,64.4,3,0.00802407221664995,0.00530742489681964,0.07792207792207792,0.07230862808870159,0.008012690048778274,0.005296420431055057,0.009027081243731194,0.0062637893664978924,0.015737190347008084,0.010366781977737076,0.9929433400098366,3.10699674505734e-05
attention,3,124.4,3,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.9987882503047194,0.0
attention,4,0.1,3,0.9602072428159385,0.031480520119717983,0.5316888602414572,0.038333788509244425,0.4584828604871322,0.02888839550944994,2.062689171384824,0.22592754269525195,0.1898311141965757,0.09179629322675903,0.5414343711581897,0.06542533827132271
attention,4,1.0,3,0.9050187654088346,0.00471100092645208,0.5144899113429635,0.010805826744594722,0.46194939796459816,0.009391800979266464,1.8647163204095414,0.04525934356425279,0.39154867696310375,0.017711960366247306,0.6799658823417293,0.012470248020643915
attention,4,5.0,3,0.7393042575285566,0.04168497453009241,0.5118014325221508,0.0014498743231627464,0.4162386792448241,0.012122012810609135,1.5145249221183799,0.08979722915660897,0.47084678608626995,0.011988119828797519,0.8098583831279602,0.0011901554007687377
attention,4,10.0,3,0.3898982484043963,0.059285653414701794,0.5407354003012967,0.011951878283356377,0.265809673660054,0.025782676486104945,0.8512265247446015,0.14676248236994413,0.3502863783365095,0.028770229408373458,0.8748129723342005,0.0035810625151694144
attention,4,35.6,3,0.02958218969197926,0.021755787529139137,0.5457499402059872,0.026403079466648577,0.0281242940835911,0.02023693088591851,0.06709362610551999,0.0517472122319461,0.051527817935580485,0.0365164287933568,0.976377333676416,0.00020127695114402738
attention,4,64.4,3,0.0009950248756218905,0.0009950248756218905,0.25,0.3535533905932738,0.00099370739813017,0.0009930493148455322,0.001658374792703151,0.002071309452205107,0.0019604695902608205,0.001953829158276613,0.9928190906405162,4.126642287737242e-06
attention,4,124.4,3,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.9987777682477056,0.0
lstm,1,0.1,3,0.9667775450700177,0.02242300498068643,0.5360718505413392,0.04399868879076842,0.4560371422867082,0.038744683989771524,2.099913761241838,0.25400179541293433,0.17600343043648337,0.12102637243285404,0.5308655958507654,0.08633702132364666
