# NOTES (pandas: read_csv(..., comment="#"))
# CNN-LSTM+Attention seed=42; min n_test_samples >= 30; stations below threshold excluded.
# Predictions: CUDA+autocast re-inference from cnn_lstm_attention_h{1,4}_seed42.pt (no saved y_pred arrays on disk).
# station_id aligned via rebuild_test_meta; lat/lon/name from feature_engineered_v2.csv (deduplicated).
# Provenance: distinct eval run, deterministic Attention (no dropout/BN) — same convention as Features 3–5.
# Cross-reference (Section 5b): The strong correlation between station RMSE and station rainfall variance (r=0.89-0.93) is consistent with, and best interpreted alongside, the Extreme Rainfall Subset Evaluation (Feature 4/Section 5b): high-RMSE stations are largely those with more frequent or more severe extreme-rainfall days, and all three deep learning models (LSTM, Temporal, Attention) showed 8-10x worse RMSE on extreme vs normal days regardless of station. This map does not indicate a distinct new failure mode - it is the geographic expression of the same extreme-rainfall difficulty already documented in Section 5b.
station_id,station_name,latitude,longitude,horizon,n_test_samples,RMSE,MAE
Hissar_29.17_75.73_216,Hissar,29.1667,75.7333,1,337,6.2664757,2.3951108

Honavar_14.28_74.45_8,Honavar,14.2833,74.45,1,344,22.249063,9.700285

Hoshangabad_22.77_77.77_300,Hoshangabad,22.7667,77.7667,1,373,9.032374,3.7515163

Hut Bay_10.58_92.55_5,Hut Bay,10.5833,92.55,1,335,7.069554,4.1415987

Hyderabad / Anthredigudam_17.24_78.43_617,Hyderabad / Anthredigudam,17.2406,78.4289,1,375,4.895781,2.2895646

Hyderabad Airport_17.45_78.47_530,Hyderabad Airport,17.45,78.4667,1,375,6.5833592,2.9728289

Imphal Tulihal_24.77_93.9_780,Imphal Tulihal,24.7667,93.9,1,340,9.071688,4.018792

Indore_22.72_75.8_561,Indore,22.7167,75.8,1,373,5.996381,2.434915

Jabalpur_23.2_79.95_391,Jabalpur,23.2,79.95,1,340,11.855032,3.653335

Jagdalpur_19.08_82.03_552,Jagdalpur,19.0833,82.0333,1,376,10.570966,4.60829

Jaipur / Sanganer_26.82_75.8_385,Jaipur / Sanganer,26.8167,75.8,1,338,9.943389,2.9043617

Jaisalmer_26.9_70.92_231,Jaisalmer,26.9,70.9167,1,341,7.407932,2.1491256

Jalgaon_21.05_75.57_200,Jalgaon,21.05,75.5667,1,337,7.0871105,2.7993388

Jalna / Badnapur_19.83_75.8_534,Jalna / Badnapur,19.8333,75.8,1,337,5.057486,2.2147453

Jalpaiguri_26.53_88.72_0,Jalpaiguri,26.5333,88.7167,1,341,20.34493,8.25898

Jammu_32.67_74.83_366,Jammu,32.6667,74.8333,1,375,7.9418244,3.3359866

Jammu / R?mb?gh_32.69_74.84_314,Jammu / R?mb?gh,32.6891,74.8374,1,343,11.761646,4.683698

Jamnagar_22.45_70.08_14,Jamnagar,22.45,70.0833,1,335,14.946207,2.8730621

Jamshedpur_22.82_86.18_140,Jamshedpur,22.8167,86.1833,1,335,5.84855,2.8909345

Jamshedpur_22.82_86.18_128,Jamshedpur,22.8167,86.1833,1,335,5.848168,2.8905053

Jeur_18.2_75.2_519,Jeur,18.2,75.2,1,337,5.0165334,2.3474674

Jhansi_25.45_78.58_250,Jhansi,25.45,78.5833,1,338,5.265331,2.3006546

Jharsuguda_21.92_84.08_228,Jharsuguda,21.9167,84.0833,1,344,7.1830764,3.342333

Jindal Vijaynagar_15.18_76.63_489,Jindal Vijaynagar,15.1758,76.6333,1,335,3.971881,1.8729049

Jodhpur_26.3_73.02_217,Jodhpur,26.3,73.0167,1,339,4.7521806,1.900318

Jorhat / Lengrabhita_26.07_90.17_880,Jorhat / Lengrabhita,26.0667,90.1667,1,338,14.253773,6.461635

K. Paramathy_10.95_78.08_182,K. Paramathy,10.95,78.0833,1,336,5.445176,2.9039733

Kailashahar_24.32_92.0_27,Kailashahar,24.3167,92.0,1,373,18.081892,8.205896

Kakinada_16.95_82.23_2,Kakinada,16.95,82.2333,1,375,10.045486,3.9900696

Kalimpong_27.07_88.47_0,Kalimpong,27.0667,88.4667,1,337,10.709305,4.535852

Kalingapatam_18.33_84.13_5,Kalingapatam,18.3333,84.1333,1,375,10.131368,4.0231643

Kandla Aerodrome_23.15_70.12_29,Kandla Aerodrome,23.15,70.1167,1,335,7.275894,2.0748124

Kangra / Chari_32.17_76.26_770,Kangra / Chari,32.1651,76.2634,1,335,9.914884,3.5442977

Kanniyakumari_8.08_77.5_36,Kanniyakumari,8.0833,77.5,1,343,9.568055,3.40816

Kanpur_26.43_80.37_125,Kanpur,26.4333,80.3667,1,337,4.818111,2.156237

Kanpur / Chakeri_26.4_80.4_123,Kanpur / Chakeri,26.4,80.4,1,337,4.818111,2.156237

Karaikal_10.92_79.83_7,Karaikal,10.9167,79.8333,1,339,12.071473,4.8283463

Karnal_29.7_77.03_248,Karnal,29.7,77.0333,1,337,5.539985,2.440811

Karwar_14.78_74.13_3,Karwar,14.7833,74.1333,1,339,21.800602,7.969161

Kavali_14.9_79.98_17,Kavali,14.9,79.9833,1,337,5.980405,2.6995401

Keongjhargarh_21.62_85.52_461,Keongjhargarh,21.6167,85.5167,1,337,5.3168893,2.8280048

Keshod_21.32_70.32_50,Keshod,21.3167,70.3167,1,337,7.8232846,2.4600954

Khajuraho_24.98_79.92_217,Khajuraho,24.9833,79.9167,1,335,5.4535046,2.3560722

Khammam_17.25_80.15_110,Khammam,17.25,80.15,1,337,5.179592,2.6104066

Khandwa_21.83_76.37_317,Khandwa,21.8333,76.3667,1,337,8.31975,2.9426665

Khargone_21.82_75.62_250,Khargone,21.8167,75.6167,1,337,6.7862444,2.3742144

Kodaikanal_10.23_77.47_2339,Kodaikanal,10.2333,77.4667,1,336,7.152659,3.936207

Kohima_25.63_94.17_1405,Kohima,25.6333,94.1667,1,335,9.083709,3.6211922

Kolhapur_16.7_74.23_569,Kolhapur,16.7,74.2333,1,375,7.162819,3.0448303

Koppal_15.35_76.15_532,Koppal,15.35,76.15,1,337,3.8781486,2.059708

Koraput_18.82_82.72_0,Koraput,18.8167,82.7167,1,337,4.32316,2.2168584

Kota Aerodrome_25.15_75.85_273,Kota Aerodrome,25.15,75.85,1,341,9.321026,3.3855982

Kothagudem_17.55_80.63_110,Kothagudem,17.55,80.6333,1,337,5.409654,2.576264

Kottayam_9.58_76.52_39,Kottayam,9.5833,76.5167,1,335,9.599463,5.6080546

Kovilangulam / Aruppukkottai_9.55_78.08_103,Kovilangulam / Aruppukkottai,9.55,78.0833,1,337,6.5816865,3.3718765

Kozhikode_11.25_75.78_4,Kozhikode,11.25,75.7833,1,374,18.500801,8.408003

Krishnanagar_23.4_88.52_12,Krishnanagar,23.4,88.5167,1,335,9.371561,3.824034

Kurnool_15.8_78.07_280,Kurnool,15.8,78.0667,1,342,6.4219155,2.862821

Lengpui / Hmunpui_23.84_92.62_426,Lengpui / Hmunpui,23.8406,92.6197,1,335,5.9883566,3.3151815

Long Island_12.42_92.93_12,Long Island,12.4167,92.9333,1,336,6.702121,3.5273721

Lucknow_26.87_80.93_110,Lucknow,26.8667,80.9333,1,340,7.3174214,3.1725788

Lucknow / Amausi_26.75_80.88_122,Lucknow / Amausi,26.75,80.8833,1,340,7.318303,3.171778

